"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1840087664353259964","Sat Sep 28 17:54:21 +0000 2024","0","Edukasi Cinta Bangga Paham Rupiah SD Plus IGM Palembang #cbprupiah #cbprupiahsumsel #sobatrupiah #cintarupiah #banggarupiah #pahamrupiah #sayangirupiah #mengenalirupiah #edukasicbprupiah https://t.co/Juoof0K3db","1840087664353259964","","","in","Sumatera Selatan","0","0","0","https://x.com/CBPRupiahSumsel/status/1840087664353259964","1817744201049919488","CBPRupiahSumsel"
"1840087514130116676","Sat Sep 28 17:53:45 +0000 2024","0","Edukasi Cinta Bangga Paham Rupiah SDN 20 Martapura #cbprupiah #cbprupiahsumsel #sobatrupiah #cintarupiah #banggarupiah #pahamrupiah #sayangirupiah #mengenalirupiah #edukasicbprupiah https://t.co/p5I3SuAJ6Y","1840087514130116676","","","in","Sumatera Selatan","0","0","0","https://x.com/CBPRupiahSumsel/status/1840087514130116676","1817744201049919488","CBPRupiahSumsel"
"1840087260244652366","Sat Sep 28 17:52:44 +0000 2024","0","Edukasi Cinta Bangga Paham Rupiah Music Fest 2024 #cbprupiah #cbprupiahsumsel #sobatrupiah #cintarupiah #banggarupiah #pahamrupiah #sayangirupiah #mengenalirupiah #edukasicbprupiah https://t.co/X5QPWLco8L","1840087260244652366","","","in","Sumatera Selatan","0","0","0","https://x.com/CBPRupiahSumsel/status/1840087260244652366","1817744201049919488","CBPRupiahSumsel"
"1840073765218304017","Sat Sep 28 17:46:16 +0000 2024","0","@pomnni18 tapi kalau kayak gini bukannya orang bakalan males interaksi sama akun dia ya . like dia udah bagus mau edukasi tapi dengan tweet blunder ini dia bakalan dicap jelek. tapi yah siapa tau saat waktu berlalu orang2 akan lupa dan ngerasa tertarik sama edukasi dia? who knows ","1840085631755792882","","pomnni18","in","Lloyd Frontera's broad back","0","1","0","https://x.com/javierscowlick/status/1840085631755792882","1470753770988474369","javierscowlick"
"1839903571426586854","Sat Sep 28 17:45:55 +0000 2024","0","@om_AL1802 Saya malu melihat kelakuan preman. Dialog org memberikan edukasi mereka bubarkan.","1840085544392634696","","om_AL1802","in","Indonesia","0","0","0","https://x.com/hidayatj84/status/1840085544392634696","2547210224","hidayatj84"
"1840073765218304017","Sat Sep 28 17:44:17 +0000 2024","0","@javierscowlick Aku rasa buat naikin engagement deh akun dia sepi yg edukasi bahas2 matematika. Giliran blunder rame di first accnya dia bangga betul banyak respon postingan walaupun banyak ngehujat dia. Dia juga rajin banget balas2 semua rep yg bertumpuk2.","1840085134743351765","","javierscowlick","in","","0","1","0","https://x.com/pomnni18/status/1840085134743351765","1491779017602924550","pomnni18"
"1840073765218304017","Sat Sep 28 17:42:09 +0000 2024","0","@pomnni18 sayang banget ya haha. tapi belakangan ini tuh aku liat akun buat edukasi gini banyak yang blunder. entahlah ada apa dengan para pemegang akun itu","1840084595141927364","","pomnni18","in","Lloyd Frontera's broad back","0","2","0","https://x.com/javierscowlick/status/1840084595141927364","1470753770988474369","javierscowlick"
"1840073765218304017","Sat Sep 28 17:40:08 +0000 2024","1","@javierscowlick Hooh ada yg bilang gitu rep aku wkwk. Pdhl aku lihat akunnya bagus banget beri edukasi bidang matematika. Tpi dia benar2 blunder banget dan caper di postingan ini","1840084090353258848","","javierscowlick","in","","0","1","0","https://x.com/pomnni18/status/1840084090353258848","1491779017602924550","pomnni18"
"1839837313163244025","Sat Sep 28 17:38:57 +0000 2024","1","@sanscerta @ryzys_ @ursexsaturn @bacottetangga__ gara2 edukasi ini orang2 jadi makin gada empatinya alasannya gabisa asal megang","1840083792851284294","","sanscerta","in","","0","0","1","https://x.com/sukakentank/status/1840083792851284294","1346085158982537216","sukakentank"
"1840081342681468970","Sat Sep 28 17:36:35 +0000 2024","1","Pendidikan seksual itu bener2 ngaruh sih guru ipa gue dlu bener2 fair kasih edukasi sex dengan bahasa yg tegas nggak perlu bahasa tabu. Beliau bilang kalian punya ttw dan mmw jangan pernah sesekali kalian coba nempel walaupun cuma gesek2 doang. Sumpah secuek gtu ngomongnya","1840083197046264088","","fucknyolo","in","","0","1","0","https://x.com/fucknyolo/status/1840083197046264088","1786435167122534400","fucknyolo"
